point_number,x,y,z
1,0.46336331245276374,0.08589821323782146,0.1577293947603284
2,0.45828927542775855,0.07270821724067236,0.16488093156047393
3,0.5120011073627212,0.1468594459400201,0.15692668369585933
4,0.5116814939869027,0.17236801816455397,0.20571033672489722
5,0.5679714743742859,0.09506309959231399,0.19516651557541434
6,0.5535534062346338,0.08531161899445003,0.1470113983481661
7,0.6117011608012731,0.15717658514892432,0.15690519702637196
8,0.6310847456080882,0.18685303614179463,0.21769885938276037
9,0.6622106658395193,0.09305230566962105,0.15898166888942672
10,0.6631346410768365,0.06625967366751759,0.21092961773878227
