point_number,x,y,z
1,0.4622765712048484,-0.0245843277962782,0.1572312332814243
2,0.4546668850669471,-0.03777346901432173,0.1461966039213699
3,0.512472418528152,0.03819736781015447,0.15712537811217236
4,0.5133461979450287,0.06166787775932134,0.2084017611232526
5,0.5625418857747392,-0.01615630812049651,0.15769112181722378
6,0.5550709662596264,-0.036236305588538534,0.1466702266713652
7,0.6121570718593394,0.04873467564786661,0.15766291137703992
8,0.6084900042589635,0.07010993319168941,0.16680279477403895
9,0.6624526577819756,-0.016206327409788335,0.15805583790278396
10,0.65653158622586,-0.037379612859692435,0.16042636490890255
