point_number,x,y,z
1,0.46156732634248504,-0.13173799882327913,0.15673764050380684
2,0.4613073206636456,-0.14788580375038676,0.2069603521144276
3,0.5123402512888728,-0.06575088429083842,0.15781178940440466
4,0.5087356840263245,-0.03889640448745871,0.1767367897712224
5,0.5603719947531213,-0.11649756703337946,0.1455078848428674
6,0.5616453991808626,-0.135841972413457,0.200411838162314
7,0.6115569556406802,-0.05617031200948172,0.15201266149020307
8,0.6050527657426193,-0.033109200674774936,0.14757980746920488
9,0.6611249307597058,-0.11935592705006992,0.14960561399753647
10,0.6559994052202477,-0.13868915322544348,0.1584382514263471

