point_number,x,y,z
1,0.4631536969374779,0.08170954095322111,0.15758761356014317
2,0.45666256924073917,0.07194301199568015,0.15199143813824412
3,0.5117782248691716,0.1463755458166473,0.15698692335336228
4,0.5121554984610048,0.16655338745995057,0.20760842523274944
5,0.5617018333571485,0.09338911106421569,0.15782470956482925
6,0.5551316824283502,0.07583395855496958,0.14838218587755267
7,0.6114418503821747,0.15242434571981822,0.15496356817231033
8,0.6061847709042051,0.17256523601429746,0.16431365133499512
9,0.6535519454385168,0.09136400512909873,0.09718771641200658
10,0.658799840868675,0.06594070349826248,0.1834723757455277
