point_number,x,y,z
1,0.4613698353127371,-0.13448581850809904,0.15668167946997513
2,0.4567805985354933,-0.15320720235257923,0.1735255832591011
3,0.5122682373927955,-0.0652266432173573,0.15787581122569355
4,0.5101501546475697,-0.040389501626272195,0.187963383336379
5,0.5622961046943022,-0.11709124441735666,0.1572541174509458
6,0.5545367901287596,-0.1332303944724191,0.14588478429635016
7,0.6120288137697081,-0.05939063017105925,0.1576067389113595
8,0.6138348390585093,-0.03583663464460832,0.20979715821948652
9,0.6617021846427752,-0.12014418526467383,0.15366702676334823
10,0.6566671493423845,-0.14014086700390205,0.16322960723358695
